,id,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
0,267487,White,2,39.1,3.0,NE,0.39,0.771241759,1
1,267488,White,2,37.5,3.7,MS,0.59,0.816671731,1
2,267489,Mexican,1,34.7,3.1,Mt,0.07,0.71935096,1
3,267490,Other,1,30.2,3.4,NE,-0.97,0.705589658,0
4,267491,White,2,42.8,3.7,SC,0.54,0.885414367,1
5,267492,White,2,39.2,3.3,SC,-0.98,0.810114177,0
6,267493,White,2,32.4,3.0,MW,-2.07,0.699842818,1
7,267494,White,2,29.8,3.0,NE,0.85,0.65040362,1
8,267495,White,2,36.8,2.5,Mt,-0.61,0.706250473,1
9,267496,White,2,38.9,3.2,SE,0.97,0.789461184,1
10,267497,White,2,35.8,3.6,NE,0.22,0.783717827,1
11,267498,Asian,1,32.1,3.2,SE,0.49,0.69918463,1
12,267499,White,1,36.7,3.4,NE,0.71,0.781327187,0
13,267500,White,2,42.0,3.5,GL,-0.71,0.860984116,1
14,267501,White,2,41.8,3.7,NE,0.17,0.880389945,1
15,267502,Hispanic,2,39.2,3.1,NE,-0.46,0.773209026,1
16,267503,White,1,39.2,2.8,SE,-1.63,0.757273264,1
17,267504,White,2,33.0,2.8,NE,-1.32,0.673467378,1
18,267505,Hispanic,2,31.3,2.7,MW,0.09,0.650642076,1
19,267506,White,1,40.5,2.7,SC,-1.23,0.754628379,1
20,267507,White,1,38.4,3.7,NG,0.42,0.825301915,1
21,267508,White,2,36.4,3.0,MS,-0.44,0.747560817,1
22,267509,White,1,39.5,2.4,FW,-0.24,0.73929567,0
23,267510,White,1,30.9,2.6,NE,-0.21,0.633304616,1
24,267511,Asian,2,34.9,3.3,MW,-0.74,0.732641273,1
25,267512,White,1,31.9,3.4,SE,1.76,0.728060967,1
26,267513,White,1,37.3,3.6,GL,1.12,0.804088005,0
27,267514,White,1,30.2,3.7,FW,0.73,0.728507673,1
28,267515,Asian,1,43.1,2.9,MS,0.53,0.81319729,0
29,267516,White,1,31.7,3.4,NG,-2.0,0.708719773,1
