no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,0.09807875000001332,0.17415795900001285,0.27223670900002617
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,0.09976933400002963,0.16327558299997236,0.263044917000002
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,0.10055366699998558,0.16699883299997964,0.2675524999999652
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,0.10090595800011215,0.15993145899994943,0.2608374170000616
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,0.0982958750000762,0.1626507920000222,0.2609466670000984
0,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.10320116699995197,0.20335325000007742,0.3065544170000294
1,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.10172745800002758,0.17437508299997262,0.2761025410000002
2,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.10125933400001941,0.16788529099994776,0.26914462499996716
3,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.10295600000006289,0.16672366599993893,0.2696796660000018
4,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.09994108299997606,0.16009475000009843,0.2600358330000745
0,0.5,30,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,10,,0.11838758299995789,0.20582420900007037,0.32421179200002825
1,0.5,30,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,10,,0.10537312500002827,0.20303175000003648,0.30840487500006475
2,0.5,30,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,10,,0.10238579099996059,0.2071302920001017,0.3095160830000623
3,0.5,30,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,10,,0.1041203749999795,0.2040835000000243,0.3082038750000038
4,0.5,30,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,10,,0.10492441700000654,0.20696233300009226,0.3118867500000988
0,0.5,40,KENDALL_DISTANCE,0.45,RefinementMethod.MILP_OPT,11,,0.10696724999991147,0.17730950000009216,0.28427675000000363
1,0.5,40,KENDALL_DISTANCE,0.45,RefinementMethod.MILP_OPT,11,,0.10948633299994981,0.17469758400000046,0.28418391699995027
2,0.5,40,KENDALL_DISTANCE,0.45,RefinementMethod.MILP_OPT,11,,0.10649658300008014,0.17432391699992422,0.28082050000000436
