no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,0.6743104579999999,1.7930528749999999,2.4673633329999998
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,0.6384110829999998,1.8200129170000001,2.458424
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,0.6409518749999998,1.8446247499999995,2.4855766249999993
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,0.6301275000000004,1.813819875,2.4439473750000005
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,0.634792375,1.797940584000001,2.432732959000001
0,0.5,20,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,7,,1.0653859580000002,4.100420667000002,5.165806625000002
1,0.5,20,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,7,,1.0740465000000015,4.107541915999999,5.181588416
2,0.5,20,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,7,,1.079843125,4.120437625000001,5.200280750000001
3,0.5,20,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,7,,1.0853111670000004,4.116208416999999,5.201519584
4,0.5,20,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,7,,1.0771853749999991,4.158872542000005,5.236057917000004
0,0.5,30,KENDALL_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4269108330000009,6.9866685,8.413579333000001
1,0.5,30,KENDALL_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4616945420000036,6.971212000000001,8.432906542000005
2,0.5,30,KENDALL_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4576002920000022,7.009068082999995,8.466668374999998
3,0.5,30,KENDALL_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4372629580000051,6.971222999999995,8.408485958
4,0.5,30,KENDALL_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4954827079999973,6.959186458999994,8.454669166999992
0,0.5,40,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,13,,1.828854249999992,10.066371083000007,11.895225332999999
1,0.5,40,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,13,,1.8725854169999963,9.981483917000006,11.854069334000002
2,0.5,40,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,13,,1.8341612080000118,10.099531499999998,11.93369270800001
3,0.5,40,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,13,,1.8323350000000005,10.060571541000016,11.892906541000016
4,0.5,40,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,13,,1.8712093750000065,9.998816125000019,11.870025500000025
0,0.5,50,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15,,2.1685028750000015,13.627010000000013,15.795512875000014
1,0.5,50,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15,,2.1810972080000113,13.723112584000006,15.904209792000017
2,0.5,50,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15,,2.182765875000001,13.702252999999985,15.885018874999986
3,0.5,50,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15,,2.1457137920000093,13.714732499999997,15.860446292000006
4,0.5,50,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15,,2.181786499999987,13.691125749999998,15.872912249999985
0,0.5,60,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,20,,2.5009435830000086,17.462250499999982,19.96319408299999
1,0.5,60,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,20,,2.518797083999999,17.454947833000034,19.973744917000033
2,0.5,60,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,20,,2.4854884580000203,17.426797459,19.91228591700002
3,0.5,60,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,20,,2.5005218329999934,17.43504624999997,19.935568082999964
4,0.5,60,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,20,,2.4852704580000022,17.506377792000023,19.991648250000026
0,0.5,70,KENDALL_DISTANCE,0.34285714285714286,RefinementMethod.MILP_OPT,23,,2.7939458330000093,20.93434266700001,23.72828850000002
1,0.5,70,KENDALL_DISTANCE,0.34285714285714286,RefinementMethod.MILP_OPT,23,,2.8520327920000454,20.98612724999998,23.838160042000027
2,0.5,70,KENDALL_DISTANCE,0.34285714285714286,RefinementMethod.MILP_OPT,23,,2.8250702079999996,20.99580420899997,23.82087441699997
3,0.5,70,KENDALL_DISTANCE,0.34285714285714286,RefinementMethod.MILP_OPT,23,,2.8075845419999723,20.887788417000024,23.695372958999997
4,0.5,70,KENDALL_DISTANCE,0.34285714285714286,RefinementMethod.MILP_OPT,23,,2.7684827500000324,20.95161533299995,23.720098082999982
0,0.5,80,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,28,,3.04591808400005,23.452145290999965,26.498063375000015
