no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,,15.055154583,0.008866375000000204,15.064020958
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,,15.271986416,0.008832333999997388,15.280818749999998
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,,14.967379249999993,0.008472875000009594,14.975852125000003
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,,14.982794916000003,0.007723792000007279,14.99051870800001
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,,14.961767124999994,0.007115041999995242,14.96888216699999
0,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,,,15.013950374999993,0.013114292000011574,15.027064667000005
1,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,,,14.991207000000003,0.012013416999991477,15.003220416999994
2,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,,,14.964630958000015,0.012252042000000074,14.976883000000015
3,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,,,14.944457290999992,0.011485625000005939,14.955942915999998
4,0.5,20,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,,,15.00832029099999,0.013171416999995245,15.021491707999985
0,0.5,30,KENDALL_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,15.017615583000008,0.061340791999953126,15.078956374999962
1,0.5,30,KENDALL_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,15.041185290999977,0.03742420899999388,15.07860949999997
2,0.5,30,KENDALL_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.950349166999956,0.035952000000008866,14.986301166999965
3,0.5,30,KENDALL_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.971266333000017,0.03052520800002867,15.001791541000046
