no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.09616820899998402,0.0724342500000148,0.16860245899999882
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.09337666699997271,0.07370583300001954,0.16708249999999225
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.09814208300002747,0.07304695899995295,0.17118904199998042
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.09558049999998275,0.07703387500004055,0.1726143750000233
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.09672470800001065,0.07634829200003423,0.17307300000004489
0,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,5,,0.0992204159999801,0.0757126249999942,0.1749330409999743
1,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,5,,0.09970041699995136,0.07617412500002274,0.1758745419999741
2,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,5,,0.09880791699998781,0.07470279199998231,0.17351070899997012
3,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,5,,0.09937366700000894,0.07426866700001256,0.1736423340000215
4,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,5,,0.09991170799997917,0.07423250000005055,0.17414420800002972
0,0.5,30,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,8,,0.10396691699997973,0.07975725000000011,0.18372416699997984
1,0.5,30,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,8,,0.11872758300000896,0.07970004200001313,0.1984276250000221
2,0.5,30,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,8,,0.10335374999999658,0.07999187499996196,0.18334562499995855
3,0.5,30,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,8,,0.10211633300002632,0.07894754199998033,0.18106387500000665
4,0.5,30,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,8,,0.10343425000002071,0.07850716600000851,0.18194141600002922
0,0.5,40,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,11,,0.10547454200002448,0.07874604199997748,0.18422058400000196
1,0.5,40,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,11,,0.10768724999996948,0.07829025000000911,0.1859774999999786
2,0.5,40,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,11,,0.1037318330000403,0.07931424999998171,0.183046083000022
3,0.5,40,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,11,,0.10373258300000998,0.0788137499999948,0.18254633300000478
4,0.5,40,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,11,,0.10443187499998885,0.07935941599998841,0.18379129099997726
0,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,13,,0.10771633300004169,0.10559050000000525,0.21330683300004694
1,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,13,,0.10618625000000748,0.08385883400001148,0.19004508400001896
2,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,13,,0.10810479099995973,0.08248150000002852,0.19058629099998825
3,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,13,,0.10860587499996655,0.0866151250000371,0.19522100000000364
4,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,13,,0.10945004100000233,0.08596958399999721,0.19541962499999954
0,0.5,60,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.1074317079999787,0.09357204200000524,0.20100374999998394
1,0.5,60,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.10679570799999283,0.09012754200000472,0.19692324999999755
2,0.5,60,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.10738904200002253,0.09190054199996212,0.19928958399998464
3,0.5,60,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.10792245899995123,0.09174491600003876,0.19966737499999
4,0.5,60,MAX_ORIGINAL,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.10606504099996528,0.09330199999999422,0.1993670409999595
0,0.5,70,MAX_ORIGINAL,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10671925000002602,0.08222445799998468,0.1889437080000107
1,0.5,70,MAX_ORIGINAL,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10785674999999628,0.09749575000000732,0.2053525000000036
2,0.5,70,MAX_ORIGINAL,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10769574999994802,0.0809537910000131,0.18864954099996112
3,0.5,70,MAX_ORIGINAL,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10640383400004794,0.08510679099998697,0.1915106250000349
4,0.5,70,MAX_ORIGINAL,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10326833400000623,0.08459383299998535,0.1878621669999916
0,0.5,80,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,20,,0.10684133300003396,0.0823500419999732,0.18919137500000716
1,0.5,80,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,20,,0.10564604199998939,0.0835064170000237,0.1891524590000131
2,0.5,80,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,20,,0.10484970799996063,0.08122270800004117,0.1860724160000018
3,0.5,80,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,20,,0.1083275839999942,0.08184162499998138,0.19016920899997558
4,0.5,80,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,20,,0.10508179199996448,0.08353333299999122,0.1886151249999557
0,0.5,90,MAX_ORIGINAL,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.1077204169999959,0.09731895800001666,0.20503937500001257
1,0.5,90,MAX_ORIGINAL,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.10689004200003183,0.07796829199998001,0.18485833400001184
2,0.5,90,MAX_ORIGINAL,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.10406370800001241,0.08163720800001784,0.18570091600003025
