no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.6596541669999999,0.6902168750000002,1.3498710420000002
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.636430958,0.6413572919999999,1.27778825
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.6459061249999998,0.6530319159999998,1.2989380409999995
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.6438102499999996,0.6748672090000003,1.3186774589999999
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,0.6359543750000007,0.6424600839999997,1.2784144590000004
0,0.5,20,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,7,,1.08235525,1.2423620419999999,2.324717292
1,0.5,20,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,7,,1.0699917919999997,1.2200242919999997,2.2900160839999995
2,0.5,20,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,7,,1.0529318330000006,1.2630318749999994,2.315963708
3,0.5,20,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,7,,1.0296987080000015,1.261638542,2.2913372500000015
4,0.5,20,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,7,,1.0627810830000008,1.2612731249999989,2.3240542079999997
0,0.5,30,MAX_ORIGINAL,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.409761833000001,2.0511968749999987,3.4609587079999997
1,0.5,30,MAX_ORIGINAL,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4640472500000001,2.0181830000000005,3.4822302500000006
2,0.5,30,MAX_ORIGINAL,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4502164579999999,2.022347917000001,3.472564375000001
3,0.5,30,MAX_ORIGINAL,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4488642079999963,2.050214167,3.4990783749999963
4,0.5,30,MAX_ORIGINAL,0.26666666666666666,RefinementMethod.MILP_OPT,11,,1.4855902919999977,2.0183674159999967,3.5039577079999944
0,0.5,40,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,13,,1.7837047090000056,2.8421929999999946,4.625897709
1,0.5,40,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,13,,1.753098707999996,2.81056375,4.563662457999996
2,0.5,40,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,13,,1.8457592500000004,2.848861124999999,4.6946203749999995
3,0.5,40,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,13,,1.7844257080000006,2.821935250000003,4.606360958000003
4,0.5,40,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,13,,1.8057163329999995,2.8340261670000046,4.639742500000004
0,0.5,50,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15,,2.15675550000001,3.7534449999999993,5.910200500000009
1,0.5,50,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15,,2.163057292000005,3.8393043749999975,6.002361667000002
2,0.5,50,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15,,2.0933651250000054,3.806947667000003,5.900312792000008
3,0.5,50,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15,,2.149979290999994,3.756565375000008,5.906544666000002
4,0.5,50,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15,,2.192130542000001,3.767737208,5.959867750000001
0,0.5,60,MAX_ORIGINAL,0.3333333333333333,RefinementMethod.MILP_OPT,20,,2.4604457919999874,4.536788167000012,6.997233958999999
1,0.5,60,MAX_ORIGINAL,0.3333333333333333,RefinementMethod.MILP_OPT,20,,2.397276040999998,4.581209874999999,6.978485915999997
