no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,34.02225199999998,10.231772250000006,44.254024249999986
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,34.573330124999984,10.204354459000001,44.777684583999985
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,34.246677917,10.184160958000007,44.430838875000006
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,34.17300325000008,10.224189332999913,44.39719258299999
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,34.27861525000003,10.126396792000037,44.40501204200007
0,0.5,20,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,9,,38.407506624999996,18.662646167000048,57.070152792000044
1,0.5,20,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,9,,38.276236458000085,18.947650458999988,57.22388691700007
2,0.5,20,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,9,,39.216381459000104,18.866130582999972,58.082512042000076
3,0.5,20,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,9,,38.27846074999991,18.746538792000024,57.02499954199993
4,0.5,20,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,9,,38.41714366699989,18.752378249999992,57.169521916999884
0,0.5,30,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15,,40.82356933300002,26.894976084000064,67.71854541700009
1,0.5,30,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15,,42.449167708000004,26.912419292000095,69.3615870000001
2,0.5,30,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15,,41.047594291999985,26.617899791000127,67.66549408300011
3,0.5,30,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15,,41.22315958299987,26.581917375000103,67.80507695799997
4,0.5,30,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15,,41.48253974999989,26.699740250000104,68.18227999999999
0,0.5,40,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,21,,44.56986112499999,33.50635050000005,78.07621162500004
1,0.5,40,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,21,,44.34010983400003,33.333331415999965,77.67344125
2,0.5,40,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,21,,43.61813600000005,33.44424516699996,77.06238116700001
3,0.5,40,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,21,,44.169042582999964,33.46442095799989,77.63346354099986
4,0.5,40,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,21,,44.03897145799965,33.39850141700026,77.43747287499991
0,0.5,50,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,25,,46.22625029200026,40.431738958000096,86.65798925000036
1,0.5,50,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,25,,46.078971750000164,40.387382333999994,86.46635408400016
2,0.5,50,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,25,,47.1388533749996,40.787104792000264,87.92595816699986
3,0.5,50,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,25,,46.647082749999754,40.47828637500015,87.1253691249999
4,0.5,50,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,25,,46.282474458999786,40.59227158300018,86.87474604199997
0,0.5,60,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,31,,49.38314262499989,45.62614125000027,95.00928387500016
1,0.5,60,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,31,,48.32386829200004,45.23596808299999,93.55983637500003
2,0.5,60,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,31,,49.101663624999674,44.818467084000076,93.92013070899975
3,0.5,60,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,31,,49.09203545800028,45.04880179199972,94.14083725
4,0.5,60,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,31,,48.615531959000236,45.39652262499976,94.012054584
0,0.5,70,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,35,,50.85162529199988,50.05150587499975,100.90313116699963
1,0.5,70,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,35,,51.999099000000115,49.59487579100005,101.59397479100016
2,0.5,70,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,35,,51.31680041699974,49.389222249999875,100.70602266699962
3,0.5,70,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,35,,50.61200862500027,49.47636612499991,100.08837475000018
4,0.5,70,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,35,,50.44860570800029,49.3685774999999,99.81718320800019
0,0.5,80,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,41,,51.95704820799983,50.79720904199985,102.75425724999968
1,0.5,80,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,41,,52.638354582999455,50.36684695800068,103.00520154100013
2,0.5,80,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,41,,52.26007200000004,50.65488554199965,102.91495754199968
3,0.5,80,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,41,,52.56342337500064,50.68360304199996,103.2470264170006
4,0.5,80,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,41,,52.62206079200041,50.80091266599993,103.42297345800034
