no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,,14.96859775,0.03590712499999782,15.004504874999999
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,,15.114425250000004,0.006315957999994737,15.120741207999998
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,,14.960148625000002,0.006291500000003225,14.966440125000005
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,,15.028756333000004,0.005151249999997276,15.033907583000001
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,,15.026858165999997,0.006729333999999199,15.033587499999996
0,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,15.01225712500002,0.00859174999999368,15.020848875000013
1,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.972943249999986,0.0086940420000019,14.981637291999988
2,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.931780292000013,0.006341582999993989,14.938121875000007
3,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,15.035033249999998,0.006554749999992282,15.04158799999999
4,0.5,20,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,15.001777583000006,0.0069626670000104696,15.008740250000017
0,0.5,30,MAX_ORIGINAL,0.466,RefinementMethod.MILP_OPT,241642,,,15.009461917000039,0.018726207999975486,15.028188125000014
1,0.5,30,MAX_ORIGINAL,0.466,RefinementMethod.MILP_OPT,241642,,,14.959350166000036,0.012056083999993916,14.97140625000003
2,0.5,30,MAX_ORIGINAL,0.466,RefinementMethod.MILP_OPT,241642,,,14.994040207999944,0.012011000000029526,15.006051207999974
3,0.5,30,MAX_ORIGINAL,0.466,RefinementMethod.MILP_OPT,241642,,,15.009073833000002,0.015570374999981595,15.024644207999984
4,0.5,30,MAX_ORIGINAL,0.466,RefinementMethod.MILP_OPT,241642,,,15.032798249999985,0.011463666000054218,15.044261916000039
0,0.5,40,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.933733667000013,0.015495083000018894,14.949228750000032
1,0.5,40,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,15.040409791000002,0.01211566700004596,15.052525458000048
2,0.5,40,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.984655208999982,0.010796707999986666,14.995451916999968
3,0.5,40,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.965120124999999,0.012715582999987873,14.977835707999986
4,0.5,40,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,15.004322249999973,0.013254167000013695,15.017576416999987
0,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,241642,,,15.058597041000041,0.012232292000021516,15.070829333000063
1,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,241642,,,15.020528459000047,0.015485291000004509,15.036013750000052
2,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,241642,,,14.913679666999997,0.011177250000059757,14.924856917000056
3,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,241642,,,14.943767416000014,0.012052416999949855,14.955819832999964
4,0.5,50,MAX_ORIGINAL,0.48,RefinementMethod.MILP_OPT,241642,,,14.942449749999923,0.013200917000062873,14.955650666999986
0,0.5,60,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.954395458000022,0.013896832999989783,14.968292291000012
1,0.5,60,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.964778416000058,0.01349404199993387,14.978272457999992
2,0.5,60,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.940286749999927,0.025680959000055736,14.965967708999983
3,0.5,60,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.93766258300002,0.01304662500001541,14.950709208000035
4,0.5,60,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,,,14.958767833000024,0.023183499999959167,14.981951332999984
0,0.5,70,MAX_ORIGINAL,0.49,RefinementMethod.MILP_OPT,241642,,,14.959328792000065,0.02570829199999025,14.985037084000055
1,0.5,70,MAX_ORIGINAL,0.49,RefinementMethod.MILP_OPT,241642,,,14.979849124999987,0.027511083000035796,15.007360208000023
2,0.5,70,MAX_ORIGINAL,0.49,RefinementMethod.MILP_OPT,241642,,,14.964524374999996,0.024403208999956405,14.988927583999953
3,0.5,70,MAX_ORIGINAL,0.49,RefinementMethod.MILP_OPT,241642,,,14.970230541999967,0.025939375000007203,14.996169916999975
4,0.5,70,MAX_ORIGINAL,0.49,RefinementMethod.MILP_OPT,241642,,,14.932220459000064,0.027171457999997983,14.959391917000062
