no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,0.052446833000004744,0.06612783299999592,0.11857466600000066
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,0.06657849999999144,0.05687599999998838,0.12345449999997982
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,0.049989791999990985,0.051444750000001704,0.10143454199999269
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,0.05296904099998301,0.053212916999996196,0.1061819579999792
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,0.0502306669999939,0.05745120800000336,0.10768187499999726
0,0.5,20,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.05186766700001044,0.17937295799998765,0.2312406249999981
1,0.5,20,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.05098329200001217,0.20583116699998527,0.25681445899999744
2,0.5,20,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.052782250000007025,0.17622104099999092,0.22900329099999794
3,0.5,20,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.052655082999990555,0.18224462500000982,0.23489970800000037
4,0.5,20,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,5,,0.05104625000001306,0.15687825000000544,0.2079245000000185
0,0.5,30,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,9,,0.05212308400001575,0.14481116599998245,0.1969342499999982
1,0.5,30,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,9,,0.05227683399999705,0.1802558750000003,0.23253270899999734
2,0.5,30,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,9,,0.05193895799999382,0.15033037500001,0.20226933300000383
3,0.5,30,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,9,,0.051954834000014216,0.1442902499999832,0.1962450839999974
4,0.5,30,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,9,,0.051796708000011904,0.16702037499999278,0.2188170830000047
0,0.5,40,QUERY_DISTANCE,0.55,RefinementMethod.MILP_OPT,9,,0.05274170799998501,0.42184679199999664,0.47458849999998165
1,0.5,40,QUERY_DISTANCE,0.55,RefinementMethod.MILP_OPT,9,,0.053830707999992455,0.4196202919999905,0.47345099999998297
2,0.5,40,QUERY_DISTANCE,0.55,RefinementMethod.MILP_OPT,9,,0.05396479099999851,0.44568162499999175,0.49964641599999027
3,0.5,40,QUERY_DISTANCE,0.55,RefinementMethod.MILP_OPT,9,,0.05642508299999349,0.4270422920000101,0.4834673750000036
4,0.5,40,QUERY_DISTANCE,0.55,RefinementMethod.MILP_OPT,9,,0.05256037499998456,0.426000791000007,0.47856116599999154
0,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,13,,0.05384137500001884,0.37897195899998337,0.4328133340000022
1,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,13,,0.05499929100000145,0.36702733399999943,0.4220266250000009
2,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,13,,0.05535125000000107,0.390191791999996,0.44554304199999706
3,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,13,,0.05434645799999771,0.37863691699999436,0.43298337499999207
4,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,13,,0.055750207999977874,0.3738559170000144,0.4296061249999923
0,0.5,60,QUERY_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.056868499999978894,0.6103545840000208,0.6672230839999997
1,0.5,60,QUERY_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.056689540999997234,0.6754053340000041,0.7320948750000014
2,0.5,60,QUERY_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.053859084000009716,0.6328589579999857,0.6867180419999954
3,0.5,60,QUERY_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.05377929200000153,0.621368958000005,0.6751482500000066
4,0.5,60,QUERY_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,16,,0.055056166999975176,0.6215939580000054,0.6766501249999806
0,0.5,70,QUERY_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.05437166699999807,0.6953702080000426,0.7497418750000406
1,0.5,70,QUERY_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.05635170899995501,0.7097544160000098,0.7661061249999648
2,0.5,70,QUERY_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.05420275000000174,0.6925410830000374,0.7467438330000391
3,0.5,70,QUERY_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.07463116699994998,0.7058560410000041,0.7804872079999541
4,0.5,70,QUERY_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.05615229099998942,0.6971660419999921,0.7533183329999815
0,0.5,80,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,20,,0.05591595800001414,0.7950200000000223,0.8509359580000364
1,0.5,80,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,20,,0.05325679099996705,0.7848665420000316,0.8381233329999986
2,0.5,80,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,20,,0.053863416000012876,0.8087019999999825,0.8625654159999954
3,0.5,80,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,20,,0.05493304199995919,0.7992504169999961,0.8541834589999553
