no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,0.35939245799999997,0.44683841699999993,0.8062308749999999
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,0.32347141700000015,0.43774854099999994,0.7612199580000001
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,0.34777729199999996,0.44242591600000036,0.7902032080000003
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,0.3270073339999997,0.4518576250000006,0.7788649590000003
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,0.32611833400000023,0.4609396659999998,0.787058
0,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,0.502468125,0.9438160409999998,1.4462841659999999
1,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,0.518828375,0.9390152079999998,1.4578435829999998
2,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,0.5224178750000004,0.9464272499999993,1.4688451249999996
3,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,0.525731540999999,0.9363697920000007,1.4621013329999997
4,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,0.5148619159999992,0.9658726670000011,1.4807345830000003
0,0.5,30,QUERY_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,0.6791371250000005,1.5270054589999997,2.206142584
1,0.5,30,QUERY_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,0.7099991249999995,1.5027999590000007,2.2127990840000002
2,0.5,30,QUERY_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,0.6924589589999997,1.508533374999999,2.2009923339999986
3,0.5,30,QUERY_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,0.7101411249999998,1.4998957500000003,2.210036875
4,0.5,30,QUERY_DISTANCE,0.26666666666666666,RefinementMethod.MILP_OPT,11,,0.7012892090000022,1.500926665999998,2.2022158750000003
0,0.5,40,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,15,,0.8652158340000007,2.229616041,3.0948318750000006
1,0.5,40,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,15,,0.8503569169999992,2.2229399580000013,3.0732968750000005
2,0.5,40,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,15,,0.8872642089999978,2.196383541000003,3.083647750000001
3,0.5,40,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,15,,0.8686361250000019,2.2290755000000004,3.0977116250000023
4,0.5,40,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,15,,0.8524952920000004,2.23294525,3.0854405420000006
0,0.5,50,QUERY_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,1.0454841250000015,3.0425722919999956,4.088056416999997
1,0.5,50,QUERY_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,1.0225699999999946,3.065563792000006,4.088133792000001
2,0.5,50,QUERY_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,1.0170336249999963,3.067192625000004,4.08422625
3,0.5,50,QUERY_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,1.0276170830000027,3.0333020830000024,4.060919166000005
4,0.5,50,QUERY_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,1.0290230419999986,3.0867317909999983,4.115754832999997
0,0.5,60,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,24,,1.215625334000002,3.9382995409999992,5.153924875000001
1,0.5,60,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,24,,1.2168404159999966,3.9106219170000003,5.127462332999997
2,0.5,60,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,24,,1.1710643750000003,3.957770124999996,5.128834499999996
3,0.5,60,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,24,,1.1687813329999983,3.9410322920000027,5.109813625000001
4,0.5,60,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,24,,1.1802381669999988,3.8913991250000066,5.0716372920000055
0,0.5,70,QUERY_DISTANCE,0.14285714285714285,RefinementMethod.MILP_OPT,30,,1.350760374999993,4.675567584000007,6.026327959
1,0.5,70,QUERY_DISTANCE,0.14285714285714285,RefinementMethod.MILP_OPT,30,,1.3568394159999997,4.867057208999995,6.223896624999995
2,0.5,70,QUERY_DISTANCE,0.14285714285714285,RefinementMethod.MILP_OPT,30,,1.405295124999995,4.791932792000011,6.197227917000006
3,0.5,70,QUERY_DISTANCE,0.14285714285714285,RefinementMethod.MILP_OPT,30,,1.3466148329999896,4.811032792000006,6.157647624999996
4,0.5,70,QUERY_DISTANCE,0.14285714285714285,RefinementMethod.MILP_OPT,30,,1.3612070830000107,4.8662736670000015,6.227480750000012
0,0.5,80,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,36,,1.4648015420000036,5.8858909580000045,7.350692500000008
1,0.5,80,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,36,,1.4781508750000114,5.882685834,7.3608367090000115
2,0.5,80,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,36,,1.4847238339999933,5.909984790999999,7.394708624999993
3,0.5,80,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,36,,1.4374459160000015,5.984970500000003,7.422416416000004
4,0.5,80,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,36,,1.5057714589999875,5.94737220799999,7.453143666999978
0,0.5,90,QUERY_DISTANCE,0.13333333333333333,RefinementMethod.MILP_OPT,39,,1.6882840410000028,6.7090672920000145,8.397351333000017
1,0.5,90,QUERY_DISTANCE,0.13333333333333333,RefinementMethod.MILP_OPT,39,,1.676073500000001,6.721263834000013,8.397337334000014
2,0.5,90,QUERY_DISTANCE,0.13333333333333333,RefinementMethod.MILP_OPT,39,,1.6765051250000056,6.6962005419999855,8.372705666999991
3,0.5,90,QUERY_DISTANCE,0.13333333333333333,RefinementMethod.MILP_OPT,39,,1.6049520419999794,6.702766999999994,8.307719041999974
4,0.5,90,QUERY_DISTANCE,0.13333333333333333,RefinementMethod.MILP_OPT,39,,1.5619612920000066,6.671923499999991,8.233884791999998
0,0.5,100,QUERY_DISTANCE,0.14,RefinementMethod.MILP_OPT,43,,1.7761779589999946,7.281020249999983,9.057198208999978
1,0.5,100,QUERY_DISTANCE,0.14,RefinementMethod.MILP_OPT,43,,1.79372833299999,7.333798709000007,9.127527041999997
2,0.5,100,QUERY_DISTANCE,0.14,RefinementMethod.MILP_OPT,43,,1.7290014589999885,7.260374915999989,8.989376374999978
3,0.5,100,QUERY_DISTANCE,0.14,RefinementMethod.MILP_OPT,43,,1.7034457919999966,7.243416249999996,8.946862041999992
4,0.5,100,QUERY_DISTANCE,0.14,RefinementMethod.MILP_OPT,43,,1.715298875000002,7.192276208999999,8.907575084000001
