no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,30.489919334000035,7.7353677080000125,38.22528704200005
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,30.253133375000004,7.741760708000015,37.99489408300002
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,30.934907750000093,7.721930415999964,38.65683816600006
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,31.433636874999934,7.72753087500007,39.161167750000004
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,30.903214959000024,7.6948532909999585,38.59806824999998
0,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,32.51386554100009,14.160788708999917,46.67465425
1,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,32.466288082999995,14.237542208000036,46.70383029100003
2,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,33.031882124999925,14.479764541000009,47.51164666599993
3,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,32.90299475000006,14.182079208000005,47.085073958000066
4,0.5,20,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,9,,33.162194,14.150489541999832,47.31268354199983
0,0.5,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,34.62971937499992,23.05094254200003,57.68066191699995
1,0.5,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,34.63239545800002,21.231938624999884,55.8643340829999
2,0.5,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,34.500903290999986,20.916496874999893,55.41740016599988
3,0.5,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,34.524334041999964,21.15943900000002,55.683773041999984
4,0.5,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,35.763991583999996,20.914164332999917,56.67815591699991
0,0.5,40,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,21,,36.38452154200013,26.00804108300008,62.39256262500021
1,0.5,40,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,21,,35.96138058299994,26.038666375000048,62.000046957999984
2,0.5,40,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,21,,36.29464883399987,26.133061833000056,62.42771066699993
3,0.5,40,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,21,,35.95977979200006,26.344212707999986,62.30399250000005
