no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,14.88298675,0.005742874999999259,14.888729625
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,15.272429542000001,0.004017499999996232,15.276447041999997
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,15.054937875,0.002908750000003124,15.057846625000003
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,14.918361958000006,0.003323459000000639,14.921685417000006
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,14.937291082999991,0.002684625000000551,14.939975707999992
0,0.5,20,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,241642,,,14.934916375,0.003731041999998297,14.938647416999999
1,0.5,20,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,241642,,,15.000581458999989,0.005468416000013576,15.006049875000002
2,0.5,20,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,241642,,,14.93752329099999,0.003770916999997098,14.941294207999988
3,0.5,20,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,241642,,,14.990150540999991,0.0044193340000049375,14.994569874999996
4,0.5,20,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,241642,,,15.044175625000008,0.0035522499999842694,15.047727874999993
0,0.5,30,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.901007375000006,0.004609291999997822,14.905616667000004
1,0.5,30,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.897287500000004,0.004751208999948631,14.902038708999953
2,0.5,30,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.989128625000035,0.004566791000002013,14.993695416000037
3,0.5,30,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.931727417000047,0.004643708000003244,14.93637112500005
4,0.5,30,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.954345999999987,0.0055519580000122914,14.959897957999999
0,0.5,40,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,,,14.933850791999987,0.007058207999989463,14.940908999999976
1,0.5,40,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,,,14.99307275000001,0.006118832999959523,14.99919158299997
2,0.5,40,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,,,14.937179249999986,0.0059036659999947005,14.94308291599998
3,0.5,40,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,,,14.85326220799999,0.006647375000000011,14.85990958299999
4,0.5,40,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,,,14.920176917000049,0.005943749999971715,14.92612066700002
0,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,241642,,,14.856600624999999,0.0076057500000388245,14.864206375000037
1,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,241642,,,14.871219458000041,0.00732779199995548,14.878547249999997
2,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,241642,,,14.904076666999913,0.006456666000076439,14.91053333299999
3,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,241642,,,14.936849833999986,0.007816750000074535,14.94466658400006
4,0.5,50,QUERY_DISTANCE,0.48,RefinementMethod.MILP_OPT,241642,,,14.877804792000006,0.006550374999960695,14.884355166999967
0,0.5,60,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.860906458000045,0.007524541999941903,14.868430999999987
1,0.5,60,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.90503379100005,0.008031167000012829,14.913064958000064
2,0.5,60,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.880799249999995,0.007854832999896644,14.888654082999892
3,0.5,60,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.896677458999989,0.008646791000046505,14.905324250000035
4,0.5,60,QUERY_DISTANCE,0.466,RefinementMethod.MILP_OPT,241642,,,14.961028958000043,0.007944124999994528,14.968973083000037
0,0.5,70,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,15.004090375000033,0.00923612500002946,15.013326500000062
1,0.5,70,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,15.028783542000042,0.010220457999935206,15.039003999999977
2,0.5,70,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.950595125000063,0.009130916999993133,14.959726042000057
3,0.5,70,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.968550958000037,0.00835400000005393,14.976904958000091
4,0.5,70,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.963452125000003,0.00899200000003475,14.972444125000038
0,0.5,80,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,241642,,,14.954902167,0.011439957999982653,14.966342124999983
1,0.5,80,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,241642,,,14.92748954199999,0.010425374999954329,14.937914916999944
2,0.5,80,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,241642,,,14.905482791000054,0.010029749999944215,14.915512540999998
3,0.5,80,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,241642,,,14.954429249999976,0.0102942080000048,14.96472345799998
4,0.5,80,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,241642,,,14.94044420800003,0.010632624999971085,14.951076833000002
0,0.5,90,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.961418750000007,0.0397883749999437,15.00120712499995
1,0.5,90,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.972083999999995,0.011808792000010726,14.983892792000006
2,0.5,90,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.917317583000113,0.010907791999898109,14.928225375000011
3,0.5,90,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.97570570899984,0.01112145800016151,14.986827167000001
4,0.5,90,QUERY_DISTANCE,0.49,RefinementMethod.MILP_OPT,241642,,,14.97519837499999,0.011352957999861246,14.986551332999852
0,0.5,100,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,,15.108500167000102,0.03175016699992739,15.14025033400003
1,0.5,100,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,,14.931521458000134,0.023479666999946858,14.95500112500008
2,0.5,100,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,,14.964340083000025,0.03302037499997823,14.997360458000003
3,0.5,100,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,,14.959779000000026,0.02277408400004788,14.982553084000074
4,0.5,100,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,,14.967361875000051,0.021727832999886232,14.989089707999938
