no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,predicate_kind,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.06301145800000008,0.04121029200000015,0.10422175000000022
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.06379462499999988,0.04107445899999984,0.10486908399999972
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.062159333000000316,0.041216124999999604,0.10337545799999992
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.06299274999999982,0.04198154200000026,0.10497429200000008
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.062308124999999936,0.04107800000000017,0.1033861250000001
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.01781883399999984,0.004500875000000182,0.02231970900000002
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.017558708000000145,0.004207416999999936,0.02176612500000008
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.017262874999999678,0.004267666000000059,0.021530540999999737
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.017577707999999692,0.00407737500000005,0.021655082999999742
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.017310458000000306,0.004335916999999689,0.021646374999999995
