no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,predicate_kind,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.141626209,0.007740541000000101,0.1493667500000001
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.1236609580000001,0.006240333000000042,0.12990129100000014
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12479829100000006,0.006054541999999996,0.13085283300000006
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12388516700000007,0.0061410420000000965,0.13002620900000017
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12413979200000003,0.022309041999999835,0.14644883399999986
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.134130458,0.01769708300000028,0.1518275410000003
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.13253108299999994,0.01747912499999993,0.15001020799999987
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.13298354199999984,0.017508792000000106,0.15049233399999995
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.1337518750000002,0.017403874999999847,0.15115575000000003
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.13370229099999964,0.017589875000000088,0.15129216599999973
