no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,predicate_kind,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.03614495900000003,0.023745832999999994,0.059890792000000026
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.035716290999999956,0.023601874999999772,0.05931816599999973
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.035678125000000005,0.02368624999999991,0.059364374999999914
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.035628041999999915,0.023691207999999797,0.05931924999999971
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.03559441599999991,0.023668042000000167,0.05926245800000007
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.016653999999999947,0.003273749999999964,0.01992774999999991
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.016396999999999995,0.002965042000000029,0.019362042000000024
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.016323124999999994,0.0032219580000001358,0.01954508300000013
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.01596762500000004,0.003187791999999856,0.019155416999999897
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,Numerical,0.01661337499999993,0.0030117500000002018,0.019625125000000132
