no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,predicate_kind,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.14321516700000003,0.007265582999999909,0.15048074999999994
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12193720900000005,0.005576749999999908,0.12751395899999995
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12280245899999986,0.005583125000000022,0.12838558399999989
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12032716600000004,0.005697249999999876,0.12602441599999992
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12132037499999981,0.021938042000000157,0.14325841699999997
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.12912579199999974,0.012920666000000303,0.14204645800000004
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.12676254100000017,0.013034708999999811,0.13979724999999998
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.12443850000000012,0.013258749999999875,0.13769725
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.12451833400000023,0.012960832999999727,0.13747916699999996
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.12458891700000008,0.01319045799999996,0.13777937500000004
