no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.121930167000016,0.007692083000051753,8.129622250000068
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.050412749999964,0.008244042000001173,8.058656791999965
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.070647624999992,0.008656291999955101,8.079303916999947
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.035005584000032,0.008973250000053667,8.043978834000086
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.079455709000058,0.007864165999990291,8.087319875000048
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.048289666999949,0.0025608330000750357,8.050850500000024
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.061952625000004,0.002615917000071022,8.064568542000075
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.07280041699994,0.002571208000063052,8.075371625000002
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.091643791000024,0.0026381669999864243,8.09428195800001
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.087624166999944,0.003198624999981803,8.090822791999926
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.092263790999937,0.004701542000020709,8.096965332999957
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.051587124999969,0.0056227090000220414,8.057209833999991
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.076858084000037,0.004091874999971878,8.080949959000009
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.067176958999994,0.006490833000043494,8.073667792000037
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,123869,,800MB,8.075857374999941,0.005211709000036535,8.081069083999978
