no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.792653125,0.009183250000000198,0.8018363750000002
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7829592500000002,0.006908791999999941,0.7898680420000002
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7812272909999995,0.006672667000000132,0.7878999579999997
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7803601249999996,0.006994875000000178,0.7873549999999998
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7805184159999996,0.006748709000000019,0.7872671249999996
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7970937080000002,0.00270716700000051,0.7998008750000007
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7797393330000002,0.002607417000000112,0.7823467500000003
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7791469580000001,0.0026189579999993384,0.7817659159999995
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7798232499999997,0.0025948749999997744,0.7824181249999995
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7801667499999994,0.002514665999999721,0.7826814159999991
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7784239999999993,0.004023042000000032,0.7824470419999994
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7804648749999998,0.0035317500000004998,0.7839966250000003
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7784948749999998,0.003488583999999406,0.7819834589999992
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7806086659999991,0.0035062500000009322,0.784114916
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,258,,100,5,0.7770728750000018,0.0034803749999987588,0.7805532500000005
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.374358375,0.005485834000001688,1.3798442090000016
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3718717920000003,0.005397500000000832,1.3772692920000011
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3735191250000014,0.005367166999999284,1.3788862920000007
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3730614580000022,0.006048166999999438,1.3791096250000017
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3731672080000017,0.006176416999998935,1.3793436250000006
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.371925165999997,0.0032060000000058153,1.3751311660000027
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3700728339999984,0.0025844159999977023,1.372657249999996
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3715833750000002,0.0026507920000042873,1.3742341670000044
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.369733832999998,0.002639750000000163,1.3723735829999981
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.370438,0.0027401669999989053,1.373178166999999
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3716112080000045,0.004532666999999435,1.376143875000004
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,2235,,200,5,1.3711517910000026,0.004713333999994518,1.3758651249999971
