no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,3.114004166000001,18.347133416999995,21.461137582999996
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,3.0460446660000002,18.309055834000006,21.355100500000006
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,3.095235207999991,18.444457999999997,21.53969320799999
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,3.1829949589999984,18.423965875000007,21.606960834000006
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,3.1569632920000004,18.404312000000004,21.561275292000005
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,0.7193638329999885,2.0825410000000204,2.801904833000009
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,0.738533541999999,2.1546605409999984,2.8931940829999974
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,0.7183802499999956,2.1173234999999977,2.8357037499999933
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,0.7344676669999899,2.0823742080000045,2.8168418749999944
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,1024,0.7238423329999932,2.1075219580000066,2.831364291
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,1024,3.0924332919999813,3.8648417500000107,6.957275041999992
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,1024,3.09267408300002,3.7700715000000002,6.86274558300002
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,1024,3.0537101669999913,3.818751916999986,6.872462083999977
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,1024,3.1255743750000136,3.743398082999988,6.868972458000002
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,1024,3.130775583000002,3.7733475,6.904123083000002
