no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,1.3170622919999997,4.824001583,6.141063875
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,1.328361000000001,4.855699124999999,6.184060125
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,1.374800458000001,4.837129459,6.211929917000001
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,1.3497427080000008,4.853272583999999,6.203015292
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,1.321520165999999,4.86846675,6.189986915999999
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,0.3732938329999982,0.8920487919999971,1.2653426249999953
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,0.3727029590000015,0.8437608329999975,1.216463791999999
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,0.3720304590000012,0.8446595830000021,1.2166900420000033
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,0.37717649999999736,0.8585725840000009,1.2357490839999983
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,512,0.37170829100000446,0.8732956249999972,1.2450039160000017
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,512,1.315258207999996,1.4240650420000023,2.739323249999998
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,512,1.3446084169999963,1.4041309159999997,2.748739332999996
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,512,1.340380875000001,1.4316063750000012,2.7719872500000022
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,512,1.3271045420000007,1.430609000000004,2.7577135420000047
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,512,1.3287997500000017,1.4308555839999997,2.7596553340000014
