no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,199,0.12357204099999997,0.20800025,0.33157229099999996
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,199,0.09207995899999988,0.13810195800000002,0.2301819169999999
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,199,0.094514333,0.1285952079999999,0.2231095409999999
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,199,0.09498424999999999,0.12911620899999998,0.22410045899999997
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,199,0.09764333299999994,0.12914712500000003,0.22679045799999997
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.050667165999999986,0.048202084000000145,0.09886925000000013
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.05033875000000032,0.0481685409999999,0.09850729100000022
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.05032329199999985,0.04765816700000025,0.0979814590000001
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.04993016699999986,0.04960720799999985,0.0995373749999997
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.05044787500000014,0.05330937499999999,0.10375725000000013
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.09404079199999993,0.06865045800000003,0.16269124999999995
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.09436704200000001,0.07000137499999992,0.16436841699999993
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.09410600000000002,0.0874745830000001,0.18158058300000013
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.09495645799999997,0.0693879169999998,0.16434437499999976
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,199,0.09570129200000022,0.06996699999999967,0.16566829199999988
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.3874142909999998,1.224677459,1.6120917499999998
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.3809645829999999,1.2500472919999996,1.6310118749999996
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.38494058399999975,1.2602754999999997,1.6452160839999994
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.39532833300000014,1.232697292000001,1.6280256250000011
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.3862137499999996,1.22558875,1.6118024999999996
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.13238333400000002,0.18554808300000047,0.3179314170000005
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.13206425000000088,0.20202804199999846,0.33409229199999935
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.13331866600000097,0.19420995900000015,0.32752862500000113
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.13238441699999903,0.18735625000000056,0.3197406669999996
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.13206229200000053,0.1969905409999999,0.32905283300000043
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.3882605829999992,0.38508604200000107,0.7733466250000003
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.40178412499999894,0.38962812500000155,0.7914122500000005
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.3816300410000011,0.3842659169999987,0.7658959579999998
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.37554224999999875,0.39690462500000123,0.772446875
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,434,0.38317516699999743,0.4086055000000002,0.7917806669999976
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,591,0.7120330419999981,1.423657458000001,2.135690499999999
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,591,0.7281669169999994,1.451970792000001,2.1801377090000003
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,591,0.7014317089999977,1.4183972910000016,2.1198289999999993
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,591,0.7121748340000025,1.415104624999998,2.1272794590000004
