no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,0.8215800000000009,2.2050146250000004,3.0265946250000013
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,0.7925474580000014,2.197516874999998,2.9900643329999994
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,0.8103325420000012,2.214787291999997,3.025119833999998
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,0.8079079170000014,2.1967614579999974,3.004669374999999
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,0.7909028750000004,2.193557792,2.9844606670000005
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,0.4556974170000032,0.5450000829999979,1.0006975000000011
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,0.4390381250000033,0.5338484999999977,0.972886625000001
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,0.4604657920000008,0.5359522500000011,0.996418042000002
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,0.4360977919999982,0.5351657500000044,0.9712635420000026
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,0.4515519169999962,0.5396320420000009,0.9911839589999971
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,0.7785118339999997,1.1263780000000025,1.9048898340000022
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,0.7922154170000013,0.9020140829999974,1.6942294999999987
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,0.8132197499999947,1.7311693750000003,2.544389124999995
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,0.7771931670000001,0.8867676249999974,1.6639607919999975
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,0.8060953749999982,0.9097679169999964,1.7158632919999945
