no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,0.6449025830000001,1.767570167,2.41247275
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,0.637748583,1.796835292,2.434583875
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,0.638039,1.7796547079999998,2.417693708
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,0.6292255830000002,1.7937720419999987,2.422997624999999
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,0.6386536249999999,1.7858750830000005,2.4245287080000004
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,0.35434141700000055,0.46213308299999944,0.8164745
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,0.33098024999999964,0.45251262500000067,0.7834928750000003
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,0.334506042000001,0.47534095799999854,0.8098469999999995
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,0.32969137499999945,0.45832975000000076,0.7880211250000002
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,0.33461725000000087,0.45683066599999833,0.7914479159999992
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,0.6449815409999999,0.6556182919999998,1.3005998329999997
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,0.6310386250000022,0.6782905419999992,1.3093291670000013
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,0.6366190409999994,0.6464344170000018,1.2830534580000013
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,0.6289234169999993,0.6657273749999995,1.2946507919999988
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,0.6393612500000003,0.6533916250000011,1.2927528750000015
