no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,237,0.6449025830000001,1.767570167,2.41247275
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,237,0.637748583,1.796835292,2.434583875
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,237,0.638039,1.7796547079999998,2.417693708
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,237,0.6292255830000002,1.7937720419999987,2.422997624999999
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,960,237,0.6386536249999999,1.7858750830000005,2.4245287080000004
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,237,0.35434141700000055,0.46213308299999944,0.8164745
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,237,0.33098024999999964,0.45251262500000067,0.7834928750000003
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,237,0.334506042000001,0.47534095799999854,0.8098469999999995
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,237,0.32969137499999945,0.45832975000000076,0.7880211250000002
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,960,237,0.33461725000000087,0.45683066599999833,0.7914479159999992
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,237,0.6449815409999999,0.6556182919999998,1.3005998329999997
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,237,0.6310386250000022,0.6782905419999992,1.3093291670000013
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,237,0.6366190409999994,0.6464344170000018,1.2830534580000013
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,237,0.6289234169999993,0.6657273749999995,1.2946507919999988
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,960,237,0.6393612500000003,0.6533916250000011,1.2927528750000015
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.8215800000000009,2.2050146250000004,3.0265946250000013
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.7925474580000014,2.197516874999998,2.9900643329999994
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.8103325420000012,2.214787291999997,3.025119833999998
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.8079079170000014,2.1967614579999974,3.004669374999999
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.7909028750000004,2.193557792,2.9844606670000005
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,266,0.4556974170000032,0.5450000829999979,1.0006975000000011
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,266,0.4390381250000033,0.5338484999999977,0.972886625000001
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,266,0.4604657920000008,0.5359522500000011,0.996418042000002
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,266,0.4360977919999982,0.5351657500000044,0.9712635420000026
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,2000,266,0.4515519169999962,0.5396320420000009,0.9911839589999971
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.7785118339999997,1.1263780000000025,1.9048898340000022
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.7922154170000013,0.9020140829999974,1.6942294999999987
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.8132197499999947,1.7311693750000003,2.544389124999995
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.7771931670000001,0.8867676249999974,1.6639607919999975
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2000,266,0.8060953749999982,0.9097679169999964,1.7158632919999945
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,277,0.8512334999999993,2.2379432080000043,3.0891767080000037
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,277,0.8462472500000047,2.2225474170000012,3.068794667000006
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,277,0.8946101249999998,2.2248701250000025,3.1194802500000023
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,277,0.8558803749999981,2.2775419169999935,3.1334222919999917
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,277,0.8587964590000041,2.2355173750000006,3.0943138340000047
