no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,40.736543875,28.421419125,69.157963
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,40.818066583000004,28.87098766700001,69.68905425000001
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,40.36476191700001,28.327372707999984,68.692134625
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,40.81670170800004,28.400890582999978,69.21759229100002
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,43.288727584000014,29.193015749999972,72.48174333399999
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,38.31229454099997,12.756874417000006,51.06916895799998
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,38.68705808300001,12.76111037499993,51.44816845799994
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,38.60725558399997,12.744121332999953,51.351376916999925
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,38.6091241659999,12.768754834000106,51.37787900000001
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,38.452150208000035,12.763205374999984,51.21535558300002
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,40.84405508300006,16.977520249999998,57.821575333000055
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,40.91849720799996,16.990097874999947,57.90859508299991
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,41.344821959,17.142248374999895,58.487070333999895
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,41.13389220799991,17.121385542000098,58.255277750000005
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,42.87539724999988,17.032226042000048,59.907623291999926
