no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.12073866700000002,0.16588950000000002,0.28662816700000004
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.09581983299999997,0.14155570900000014,0.2373755420000001
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.09563966700000015,0.14231779099999997,0.23795745800000012
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.09609566699999994,0.14224237500000014,0.23833804200000008
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.09926716700000005,0.1416922919999999,0.24095945899999993
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,,0.05126575000000022,0.05047691700000012,0.10174266700000034
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,,0.05293012500000005,0.05656995800000031,0.10950008300000036
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,,0.05183033399999992,0.05736562500000009,0.10919595900000001
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,,0.05193350000000008,0.05702312499999973,0.10895662499999981
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,,0.05091883399999997,0.05055004100000016,0.10146887500000012
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.09568454099999979,0.06923558399999985,0.16492012499999964
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.09438499999999994,0.06986062500000001,0.16424562499999995
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.09597366699999998,0.08924525000000028,0.18521891700000026
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.09530608400000018,0.07021808299999988,0.16552416700000006
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.09555108300000015,0.069604,0.16515508300000015
0,0.5,10,KENDALL_DISTANCE,0.6,RefinementMethod.MILP,2,,,0.11682383399999985,0.35312233299999995,0.4699461669999998
1,0.5,10,KENDALL_DISTANCE,0.6,RefinementMethod.MILP,2,,,0.11646633299999998,0.3599924579999998,0.47645879099999977
2,0.5,10,KENDALL_DISTANCE,0.6,RefinementMethod.MILP,2,,,0.11691387499999983,0.355639375,0.4725532499999998
3,0.5,10,KENDALL_DISTANCE,0.6,RefinementMethod.MILP,2,,,0.11947199999999913,0.35903375000000004,0.4785057499999992
4,0.5,10,KENDALL_DISTANCE,0.6,RefinementMethod.MILP,2,,,0.11742754099999964,0.35552712500000005,0.4729546659999997
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP,3,,,0.12225445899999965,0.48362933299999966,0.6058837919999993
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP,3,,,0.12211529200000015,0.4777801669999997,0.5998954589999999
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP,3,,,0.13617020900000032,0.4858240829999998,0.6219942920000001
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP,3,,,0.11913395799999993,0.48748745900000046,0.6066214170000004
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP,3,,,0.12261920899999978,0.47246416599999996,0.5950833749999997
0,0.5,10,MAX_ORIGINAL,0.6,RefinementMethod.MILP,2,,,0.11631783300000009,0.25445041700000104,0.37076825000000113
1,0.5,10,MAX_ORIGINAL,0.6,RefinementMethod.MILP,2,,,0.11669275000000034,0.25406404199999955,0.3707567919999999
2,0.5,10,MAX_ORIGINAL,0.6,RefinementMethod.MILP,2,,,0.11724566600000053,0.25469649999999966,0.3719421660000002
3,0.5,10,MAX_ORIGINAL,0.6,RefinementMethod.MILP,2,,,0.11727404099999994,0.25629333399999865,0.3735673749999986
4,0.5,10,MAX_ORIGINAL,0.6,RefinementMethod.MILP,2,,,0.13470379099999974,0.25416820900000126,0.388872000000001
