no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.35194370799999997,0.4487406249999999,0.8006843329999999
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.335006208,0.43822304199999995,0.77322925
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.3903712079999999,0.4501213340000003,0.8404925420000002
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.3372934999999999,0.5013353330000001,0.838628833
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.33666166700000044,0.4577224580000001,0.7943841250000006
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.6314382920000003,0.6405007920000001,1.2719390840000004
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.6380043329999996,0.6799135000000005,1.317917833
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.6290140000000006,0.6465102080000005,1.275524208000001
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.647380708,0.6459960420000002,1.2933767500000002
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,,0.6276030410000004,0.6390965420000008,1.2666995830000012
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,,0.6514468339999997,1.7945871249999996,2.4460339589999993
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,,0.6320683749999993,1.809730375000001,2.4417987500000002
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,,0.6325341659999992,1.7853515000000009,2.417885666
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,,0.6305651670000003,1.801884083000001,2.4324492500000012
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,,0.6313180420000002,1.775698000000002,2.407016042000002
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,0.2597449590000025,501.86742374999994,502.127168709
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,0.26487316700001884,512.077943416,512.3428165830001
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,0.2607941670000855,514.584509666,514.8453038330001
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,0.2658835419999832,511.8645220420001,512.1304055840001
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,0.2628902090000338,504.55384849999973,504.81673870899976
0,0.5,10,MAX_ORIGINAL,1.0,RefinementMethod.BRUTE_PROV,0,,,0.32195462500021677,480.90928729200004,481.23124191700026
1,0.5,10,MAX_ORIGINAL,1.0,RefinementMethod.BRUTE_PROV,0,,,0.3228588330002822,478.87594979200003,479.1988086250003
2,0.5,10,MAX_ORIGINAL,1.0,RefinementMethod.BRUTE_PROV,0,,,0.32162720799988165,475.30082166700004,475.6224488749999
3,0.5,10,MAX_ORIGINAL,1.0,RefinementMethod.BRUTE_PROV,0,,,0.3180593330002921,480.9383749589997,481.256434292
4,0.5,10,MAX_ORIGINAL,1.0,RefinementMethod.BRUTE_PROV,0,,,0.3219602079998367,474.45491245800076,474.7768726660006
1,0.5,10,KENDALL_DISTANCE,1.2,RefinementMethod.BRUTE_PROV,-1,,,0,0,0
0,0.5,10,KENDALL_DISTANCE,1.2,RefinementMethod.BRUTE_PROV,-1,,,0,0,0
2,0.5,10,KENDALL_DISTANCE,1.2,RefinementMethod.BRUTE_PROV,-1,,,0,0,0
3,0.5,10,KENDALL_DISTANCE,1.2,RefinementMethod.BRUTE_PROV,-1,,,0,0,0
4,0.5,10,KENDALL_DISTANCE,1.2,RefinementMethod.BRUTE_PROV,-1,,,0,0,0
