no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,32.867022666000004,7.766740166999995,40.633762833
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,32.40637087499999,7.760861584000011,40.167232459000004
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,32.181959250000006,7.876312291999994,40.058271542
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,31.758026708000017,7.959315208999982,39.717341917
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,34.03890616600003,7.916178416999969,41.955084583
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,,36.15100508299997,10.451115750000042,46.602120833000015
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,,36.31812908300003,10.338795833999995,46.656924917000026
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,,36.611370541999975,10.334975790999977,46.94634633299995
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,,36.459049666,10.508678083999996,46.967727749999995
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,,,35.69636675000004,10.186225374999935,45.882592124999974
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,34.45467533300007,16.159155416999965,50.613830750000034
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,34.58986316700009,16.214165499999922,50.80402866700001
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,36.27892374999999,16.652967624999974,52.931891374999964
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,36.01183045800008,16.66917079199993,52.68100125000001
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,,36.622891458000026,16.49588337499995,53.118774832999975
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,44.328666041999995,1.228636625,45.557302666999995
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,44.951554833,1.2227412080000022,46.174296041000005
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,45.033434083,1.236586917000011,46.270021000000014
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,44.494149166,1.2370379589999914,45.73118712499999
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,45.05985479199998,1.23114750000002,46.291002292
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.BRUTE_PROV,4,,,57.87360645799998,1.2349362500000325,59.108542708000016
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.BRUTE_PROV,4,,,57.667702625000004,1.2209327090000102,58.888635334000014
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.BRUTE_PROV,4,,,57.84529291700005,1.232701249999991,59.07799416700004
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.BRUTE_PROV,4,,,58.913146290999975,1.2203145839999934,60.13346087499997
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.BRUTE_PROV,4,,,62.462981249999984,1.2040334580000263,63.66701470800001
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,61.912013125000044,10.15797704199997,72.06999016700001
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,58.65799741700005,10.195073041,68.85307045800005
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,59.41565400000002,10.170747084000027,69.58640108400004
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,62.36379879100002,10.225322500000061,72.58912129100008
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.BRUTE_PROV,4,,,60.96570495800006,10.216387624999925,71.18209258299999
