no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,11.025078833,0.010590666999998888,11.0356695
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,10.950788082999999,0.0094963330000013,10.960284416
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,10.981615167000001,0.007978125000001057,10.989593292000002
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,10.983849833,0.009133542000000716,10.992983375000001
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,11.013087541999994,0.008432416000005105,11.021519957999999
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,11.063887084000001,0.0026034999999922093,11.066490583999993
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,11.053751707999993,0.003766833000000247,11.057518540999993
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,11.058269541000001,0.0031885420000037357,11.061458083000005
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,11.053639916999998,0.0030891659999952026,11.056729082999993
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,,11.078217749999993,0.0033705410000095526,11.081588291000003
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,,11.052386083000016,0.00616337499999986,11.058549458000016
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,,11.220475625000006,0.00645741599998928,11.226933040999995
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,,11.023431167000012,0.0076379159999930835,11.031069083000006
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,,11.071315083000002,0.00757891699998936,11.078893999999991
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,,11.078961291000013,0.006718417000001864,11.085679708000015
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.613583665999982,3.1723792090000416,13.785962875000024
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.691300915999989,3.162602292000031,13.85390320800002
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.62665933400001,3.1705322079999974,13.797191542000007
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.591250875000014,3.167319541999973,13.758570416999987
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.562327166999978,3.1750599999999736,13.737387166999952
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,9.126870041000018,2.890880458999959,12.017750499999977
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,9.081723332999957,2.8846086249999985,11.966331957999955
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,9.118618833000028,2.884756459000016,12.003375292000044
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,9.165327333999983,2.9324490000000196,12.097776334000002
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE_PROV,241642,,,9.09128800000002,2.934674749999999,12.02596275000002
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.736436749999996,2.927489167000033,13.663925917000029
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.679968834000022,2.9242940830000066,13.604262917000028
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.661423291999995,2.9294912080000017,13.590914499999997
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE_PROV,241642,,,10.69617737499999,2.9274355000000014,13.623612874999992
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE_PROV,241642,,,11.625813249999965,2.9768426250000175,14.602655874999982
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,2.9445859999999584,53.69224116700002,56.63682716699998
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,3.034213459000057,54.96659966599998,58.000813125000036
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,3.0256127500000503,55.398583791999954,58.424196542000004
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,3.0593884580000577,55.527013667000006,58.58640212500006
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,3.06294308300005,55.72844220799993,58.79138529099998
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,1.4060978329999898,69.03440279200004,70.44050062500003
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,1.4246011670001053,71.66178954199995,73.08639070900006
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,1.4953652089999423,72.51898208299997,74.01434729199991
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,1.4842312079999829,72.48936950000007,73.97360070800005
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.BRUTE,241642,,,1.4848920839999664,72.89926025,74.38415233399996
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE,241642,,,3.2015905000000657,58.78626504099998,61.987855541000044
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE,241642,,,3.175803832999918,58.6985527920001,61.87435662500002
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE,241642,,,3.215683166999952,58.43678495800009,61.65246812500004
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE,241642,,,3.024161124999864,55.06122495900013,58.08538608399999
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.BRUTE,241642,,,2.9689522910000505,54.65310958400005,57.6220618750001
