no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.1121216669999967,0.16996604099999502,0.2820877079999917
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10545837499999777,0.17654025000000217,0.28199862499999995
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.11011354100000403,0.17613737499999615,0.2862509160000002
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.11225133300000323,0.17355729199999814,0.28580862500000137
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10996974999999054,0.17740583300000878,0.2873755829999993
5,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10764179199999546,0.1747140000000087,0.28235579200000416
6,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10863224999999943,0.17650999999999328,0.2851422499999927
7,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.11110745900001007,0.1789535409999985,0.29006100000000856
8,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.1464820830000093,0.17765033299998834,0.32413241599999765
9,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10953970799999979,0.20337112500000387,0.31291083300000366
0,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.11083454200000631,0.40574174999999,0.5165762919999963
1,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.1128480420000102,0.42413070799999275,0.536978750000003
2,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.11122050000000172,0.4220181249999939,0.5332386249999956
3,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.1079033330000101,0.41242987500000083,0.5203332080000109
4,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.11039912500000071,0.4102293750000001,0.5206285000000008
5,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.11287620799998876,0.4365687500000064,0.5494449579999952
6,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.11116208299999641,0.42042645800000855,0.531588541000005
7,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.11386158299998783,0.4034348750000021,0.5172964579999899
8,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.11159145799999237,0.4133721250000093,0.5249635830000017
9,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.10976458300000047,0.4149180000000001,0.5246825830000006
