no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7307222080000001,1.764932375,2.4956545830000003
1,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.735614875,1.7509070410000005,2.4865219160000005
2,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7032002499999992,1.7749001250000003,2.4781003749999995
3,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7234000839999997,1.7639602500000002,2.487360334
4,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7358009160000005,1.7633414169999995,2.499142333
5,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7418841249999986,1.763122292000002,2.5050064170000006
6,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7107682080000011,1.7594879169999977,2.470256124999999
7,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7237148749999989,1.8037332080000006,2.5274480829999995
8,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.7283724579999991,1.7736534169999985,2.5020258749999975
9,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,0.740566458,1.7531217079999983,2.4936881659999983
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7563624580000017,3.993847625000001,4.7502100830000025
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7321343750000011,4.021016166999999,4.753150542
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7208830830000039,3.991948541999996,4.712831625
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7447998749999982,3.963128625000003,4.707928500000001
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7359267910000042,3.986778291999997,4.722705083000001
5,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7121101660000022,4.011109874999995,4.723220040999998
6,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7188319580000027,4.004053583999998,4.722885542
7,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.737861916,4.042417167000011,4.780279083000011
8,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7507032500000008,4.028031167000009,4.77873441700001
9,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,0.7051127500000121,4.097773167,4.802885917000012
