no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),COUNT(SEX = 2),COUNT(SEX = 1),COUNT(SEX = 2),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,35.61577,19.408596791999997,55.024366791999995
1,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,35.477971500000024,19.733965582999986,55.21193708300001
2,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,36.265909083,19.405331624999974,55.67124070799997
3,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,35.88222333300007,20.204627332999962,56.08685066600003
4,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,36.306333875000064,19.589597583,55.895931458000064
5,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,36.01178083299999,19.631445249999956,55.643226082999945
6,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,36.030868832999886,19.783251958000164,55.81412079100005
7,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,36.29484212500006,19.633152124999924,55.92799424999998
8,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,35.980650708999974,19.765086165999946,55.74573687499992
9,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,36.68930312500015,20.191501458999937,56.88080458400009
0,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,36.396387832999835,261.141398042,297.5377858749998
1,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,37.694907333999936,279.9272312500002,317.62213858400014
2,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,36.638852916999895,281.86145524999984,318.50030816699973
3,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,36.09796162500015,237.84131833399988,273.93927995900003
4,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,33.11272350000036,217.800626834,250.91335033400037
5,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.15810937499964,220.55263104200003,254.71074041699967
6,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.43494375,216.77110333300016,251.20604708300016
7,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,35.445420957999886,220.83590512499995,256.28132608299984
8,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.72851120899941,219.07514745800017,253.80365866699958
9,0.5,10,KENDALL_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.449420291000024,212.89555945899974,247.34497974999977
