no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),constraints_bounds,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.022769875,0.012161666000000793,15.034931541
1,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.043747792000001,0.009735374999998214,15.053483167
2,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.897532667,0.03306862499999852,14.930601291999999
3,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.89998525,0.03367533399999445,14.933660583999995
4,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.96033725000001,0.009717999999992344,14.970055250000001
5,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.011832999999996,0.011753874999982372,15.023586874999978
6,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.974224082999996,0.008705458999997973,14.982929541999994
7,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.933661374999986,0.009515708999998651,14.943177083999984
8,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.985370500000016,0.010252541999989262,14.995623042000005
9,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.90939212500001,0.010713374999966163,14.920105499999977
0,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.965116583999986,0.0049518750000174805,14.970068459000004
1,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.898925125000005,0.005728083000008155,14.904653208000013
2,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.941421333999983,0.006337125000015931,14.947758459
3,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.913311583999985,0.005047457999978633,14.918359041999963
4,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.999676333000025,0.00504933299998811,15.004725666000013
5,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.93195420799998,0.0056610000000318905,14.937615208000011
6,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.980315416999986,0.006126582999968377,14.986441999999954
7,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.906084125000007,0.005277416000012636,14.91136154100002
8,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.946570917000031,0.005094207999945866,14.951665124999977
9,0.5,10,KENDALL_DISTANCE,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.916324667000026,0.005652166000004399,14.92197683300003
