no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10116470900000252,0.12336779099999973,0.22453250000000224
1,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10001779200000271,0.12432345799999922,0.22434125000000193
2,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10148362500000019,0.12449124999999839,0.22597487499999858
3,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10158566699999483,0.12388033300000245,0.22546599999999728
4,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10249899999999457,0.12321820900000091,0.22571720899999548
5,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.09975541699999724,0.12339191600000277,0.223147333
6,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10072787500000402,0.1236962089999949,0.2244240839999989
7,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10261491699999681,0.12285116700000032,0.22546608399999712
8,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10028958400000221,0.14392595800000407,0.24421554200000628
9,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,2,8,2,8,LowerBound,0.10119820799999957,0.12314650000000427,0.22434470800000383
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10198787499999895,0.2327251660000016,0.33471304100000054
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.1002920839999959,0.22906766600000594,0.32935975000000184
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10153854200000012,0.22523670799999707,0.3267752499999972
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10274316699999986,0.2302113749999961,0.33295454199999597
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10368295800000027,0.22754345899999606,0.33122641699999633
5,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.1017977500000029,0.2262823749999967,0.3280801249999996
6,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10172270900000058,0.24560779099999763,0.3473304999999982
7,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10149333400000415,0.22747041599999562,0.3289637499999998
8,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.105241417000002,0.2281267079999978,0.3333681249999998
9,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10223979199999889,0.2284002080000036,0.3306400000000025
