no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.685976542,1.512313791,2.198290333
1,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.6879976250000004,1.4882128329999995,2.176210458
2,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.666914416,1.5213551669999994,2.1882695829999994
3,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.6688694589999997,1.4873843749999995,2.1562538339999993
4,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.681107334,1.4938266249999987,2.1749339589999988
5,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.7006461660000003,1.4976263339999996,2.1982725
6,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.6652870420000028,1.5162524170000005,2.1815394590000032
7,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.6830737920000018,1.5013106659999984,2.1843844580000003
8,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.6760678750000011,1.491338958,2.167406833000001
9,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,0.689829207999999,1.484395750000001,2.174224958
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.666921791,1.7223699170000017,2.389291708000002
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.6683794580000004,1.733444833,2.4018242910000005
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.6642366250000009,1.6925219170000005,2.3567585420000015
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.6979444169999951,1.710937333000004,2.408881749999999
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.6710984999999994,1.7321741250000002,2.4032726249999996
5,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.6691581660000026,1.7303914169999999,2.3995495830000024
6,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.6701844589999979,1.708109499999999,2.378293958999997
7,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.7078458330000004,1.7177348749999979,2.4255807079999983
8,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.6685754169999996,1.7357341250000005,2.404309542
9,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.665321917,1.7323405830000027,2.3976625000000027
