no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),COUNT(SEX = 2),COUNT(SEX = 1),COUNT(SEX = 2),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.163376,17.404304667000005,51.567680667000005
1,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.431535207999985,17.340026042000005,51.77156124999999
2,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,33.94213291699998,17.34763991599999,51.28977283299997
3,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,33.988511542000026,17.473533249999946,51.46204479199997
4,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,33.753859041000055,17.596207083999957,51.35006612500001
5,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.20175608300008,17.814846166999928,52.016602250000005
6,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.30106087499996,17.590558583000075,51.89161945800004
7,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.451621208999995,17.442447791000177,51.89406900000017
8,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.11851354200007,17.513870708000013,51.63238425000009
9,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.24867458299991,17.35130687500009,51.599981458
0,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.30407066700013,75.862453792,110.16652445900013
1,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,33.93579491700007,77.00254495799982,110.93833987499988
2,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.26243025000008,76.84249699999987,111.10492724999995
3,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.45594070800007,76.94943704199977,111.40537774999984
4,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.11333866699988,76.73998612500009,110.85332479199997
5,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.24395062500025,76.66071274999967,110.90466337499993
6,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.46310791700034,77.61857799999962,112.08168591699996
7,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,36.63548424999999,78.42253312499997,115.05801737499996
8,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.065158666000116,77.54258912500018,111.60774779100029
9,0.5,10,MAX_ORIGINAL,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,35.88394762500002,78.0933516250002,113.97729925000021
