no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.69680025,1.553324583,2.250124833
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6915950410000002,1.5010882089999997,2.19268325
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.664550792,1.557161958,2.22171275
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6720311250000002,1.5218957919999987,2.193926916999999
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6804226670000002,1.5153757910000003,2.1957984580000005
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6948588749999995,1.5143424589999999,2.2092013339999994
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6639590420000019,1.5431738749999973,2.207132916999999
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6844297919999995,1.5578505830000005,2.242280375
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6720994579999982,1.5208603340000018,2.192959792
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,0.6888352910000002,1.5360065840000026,2.2248418750000027
0,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.667841082999999,1.7642176250000006,2.4320587079999996
1,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.6723704169999998,1.7684993329999976,2.4408697499999974
2,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.6644999580000004,1.7363463749999966,2.400846332999997
3,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.7050665829999971,1.7499716250000006,2.4550382079999977
4,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.668318291999995,1.7627492910000058,2.431067583000001
5,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.6743095839999995,1.7643866250000002,2.4386962089999997
6,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.6722130830000026,1.7494194169999986,2.421632500000001
7,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.6938201669999984,1.7427863750000014,2.436606542
8,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.6726863330000015,1.7576617080000005,2.430348041000002
9,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,0.6686736659999966,1.769392417000006,2.4380660830000025
