no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),COUNT(SEX = 2),COUNT(SEX = 1),COUNT(SEX = 2),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,35.108882167,17.877749375000008,52.986631542000005
1,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.881563374999985,17.843728666999993,52.72529204199998
2,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.108262249999996,17.48448270800003,51.592744958000026
3,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.48780158300002,17.454928999999993,51.942730583000014
4,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.38904112499995,17.49820962499996,51.88725074999991
5,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,35.00464579200002,17.46611929200003,52.47076508400005
6,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.581850333000034,17.598485708,52.18033604100003
7,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.76872141700005,17.49855483300007,52.26727625000012
8,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,35.238192749999826,18.15280445799999,53.39099720799982
9,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,LowerBound,34.4389437079999,17.904668750000155,52.34361245800005
0,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,33.499052667000115,76.30196566599989,109.801018333
1,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.26979937500005,76.69975870799999,110.96955808300004
2,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,35.272431749999896,76.66965908400016,111.94209083400006
3,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.78552279099995,76.8653907920002,111.65091358300015
4,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,33.98711475000027,76.24950112499982,110.2366158750001
5,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.36286741699996,76.47153354200009,110.83440095900005
6,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,33.8927400839998,76.1391377910004,110.03187787500019
7,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,34.646874042000036,77.88380162500016,112.5306756670002
8,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,35.09180087499999,76.50541108300013,111.59721195800012
9,0.5,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,4,6,4,6,Combined,35.220053624999764,79.87630333300012,115.09635695799989
