no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),constraints_bounds,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.718725458,0.021440166999999732,14.740165625
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.331505750000002,0.005091457999995441,15.336597207999997
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.016009834000002,0.003734624999992775,15.019744458999995
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.87684920800001,0.003468249999997397,14.880317458000007
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.950454792000002,0.003950375000002282,14.954405167000004
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.944661791999977,0.003389000000026954,14.948050792000004
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.910482166999998,0.003511958000018467,14.913994125000016
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.935047792000006,0.003732791000004454,14.93878058300001
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.894386540999989,0.003465459000011606,14.897852
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.933699582999964,0.0033647920000134945,14.937064374999977
0,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.904786416000036,0.005275166999979319,14.910061583000015
1,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,15.079449000000011,0.004513332999977138,15.083962332999988
2,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.959000542000013,0.004126457999973354,14.963126999999986
3,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.932161542000017,0.0042429580000202805,14.936404500000037
4,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.926955292000002,0.003994000000034248,14.930949292000037
5,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,15.180499417000021,0.0038265829999772905,15.184325999999999
6,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.943977500000017,0.003710040999976627,14.947687540999993
7,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.942144791999965,0.004708708000009665,14.946853499999975
8,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.944379042000037,0.003731041000037294,14.948110083000074
9,0.5,10,QUERY_DISTANCE,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.931657582999946,0.00441520800006856,14.936072791000015
