no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Status = Retired),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09561583300001075,0.1435715000000073,0.23918733300001804
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09231504200002405,0.14598320799998987,0.23829825000001392
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09390999999999394,0.16675112499999045,0.2606611249999844
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09703612499998826,0.14447820800000954,0.2415143329999978
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09569762500001389,0.14167025000000422,0.2373678750000181
5,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09564224999999738,0.14247091600000772,0.2381131660000051
6,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09556391600000325,0.141219250000006,0.23678316600000926
7,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09249466700001108,0.14404387499999416,0.23653854200000524
8,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09571675000000823,0.1422089589999871,0.23792570899999532
9,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,2,4,6,2,1,4,6,2,1,6,1,0.09494808300001978,0.1439914999999985,0.23893958300001827
0,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.10233991699999478,0.150157667000002,0.2524975839999968
1,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.10216474999998582,0.14779820800001175,0.24996295799999757
2,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.09982029200000397,0.14824058300001752,0.2480608750000215
3,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.1020982500000116,0.1498626669999794,0.251960916999991
4,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.11756624999998166,0.1490390419999983,0.26660529199997995
5,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.10290408399998796,0.14885883300001979,0.25176291700000775
6,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.10247408300000416,0.14930150000000708,0.25177558300001124
7,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.10103674999999157,0.14682654200001366,0.24786329200000523
8,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.10202037499999506,0.14873595800000317,0.2507563329999982
9,0.5,10,KENDALL_DISTANCE,0.04999999999999996,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,1,3,7,0,1,6,2,0.10044391699997846,0.14975520800001618,0.25019912499999464
0,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10734129200000098,0.15422212499998977,0.26156341699999075
1,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.1278348750000191,0.1532554169999969,0.281090292000016
2,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10723337499999275,0.15166991700002086,0.2589032920000136
3,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10655879199998708,0.15102858299999866,0.25758737499998574
4,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10535466700000029,0.1511207920000004,0.2564754590000007
5,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10710687499999949,0.1527590830000065,0.259865958000006
6,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.1060942080000018,0.15158241699998598,0.2576766249999878
7,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.12455362500000433,0.1534527080000032,0.27800633300000754
8,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10562566700002662,0.15257445799997527,0.2582001250000019
9,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10629412500000512,0.15011283300000855,0.2564069580000137
0,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11590395799998987,0.15407716699999696,0.26998112499998683
