no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(race = Asian),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.649903292,1.736307041,2.386210333
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6401645839999999,1.7505355830000005,2.3907001670000003
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6336692499999996,1.7037662500000001,2.3374354999999998
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6281458329999996,1.741386834,2.3695326669999996
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6307160419999995,1.7263742499999992,2.3570902919999988
5,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6529697500000005,1.717056583999998,2.3700263339999985
6,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6296159589999988,1.7163673330000009,2.3459832919999997
7,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6618455840000017,1.7202045409999975,2.3820501249999992
8,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6252075420000018,1.7400470409999969,2.3652545829999987
9,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,1,0.6312236660000003,1.7085036249999987,2.339727290999999
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,2,0.7015518749999998,1.624575666999995,2.3261275419999947
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,2,0.6631475420000044,1.6513287499999976,2.314476292000002
