no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.955264374999999,0.013106291000001491,14.968370666
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,15.074872875000004,0.010327249999996013,15.085200125
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.893409500000004,0.008999291999998604,14.902408792000003
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.897598333000005,0.008407833999996228,14.906006167000001
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.989590209,0.013330249999995658,15.002920458999995
5,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.946559667000002,0.008421874999982037,14.954981541999985
6,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.932116792000016,0.009641041999998379,14.941757834000015
7,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.935645625000006,0.009758457999964776,14.945404082999971
8,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.921599500000013,0.009940374999985124,14.931539874999999
9,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.957262040999979,0.008931917000040812,14.96619395800002
