no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Status = Retired),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09679658400000335,0.07228750000001583,0.16908408400001917
1,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09437254200000211,0.07154983300000595,0.16592237500000806
2,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09681125000000179,0.0733257500000093,0.17013700000001108
3,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09408891700002187,0.07100462499997207,0.16509354199999393
4,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.0937455840000041,0.07237416600000302,0.16611975000000712
5,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09542208299998833,0.0727306250000197,0.16815270800000803
6,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09480874999999855,0.07303495900001167,0.16784370900001022
7,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09431016599998543,0.07263545899999713,0.16694562499998256
8,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09370987500000183,0.07242208399998162,0.16613195899998345
9,0.5,10,MAX_ORIGINAL,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,1,0.09443929200000412,0.07337970800000448,0.1678190000000086
