no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(race = Asian),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.655898125,0.6009054590000003,1.2568035840000003
1,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6226299580000001,0.6083069170000002,1.2309368750000003
2,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6548290410000002,0.614920959,1.2697500000000002
3,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6370771250000002,0.6328322920000007,1.269909417000001
4,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6302955840000006,0.6026518329999995,1.232947417
5,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6281600830000009,0.6279229169999994,1.2560830000000003
6,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6271313329999995,0.6019245830000006,1.229055916
7,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6418122499999992,0.6015434580000019,1.243355708000001
8,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6276850409999994,0.6055814590000033,1.2332665000000027
9,0.5,10,MAX_ORIGINAL,0.09999999999999992,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,9,3,7,0,9,0,1,0.6514629169999999,0.6030032910000003,1.2544662080000002
