no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(RACEV1X = 1),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,34.16627349999999,10.329723042000012,44.495996542
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,34.962887291000015,10.232947000000024,45.19583429100004
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,35.36959200000001,10.354015166999943,45.723607166999955
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,35.79062216699981,10.213154417000169,46.00377658399998
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,35.207815125000025,10.398714917000007,45.60653004200003
5,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,35.533383749999985,10.241649999999936,45.77503374999992
6,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,35.19518058299991,10.348164709000002,45.54334529199991
7,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,35.787637040999925,10.751199959000132,46.53883700000006
8,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,33.970096125000055,10.19863229099974,44.168728415999794
9,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,33.54128958299998,10.281805625000288,43.82309520800027
