no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.967852584000001,0.009860957999999087,14.977713542
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,15.113123541,0.006230958999999814,15.1193545
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.949058916999988,0.005980625000006512,14.955039541999994
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.931116749999987,0.006940625000012801,14.938057375
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.957238541999999,0.004862083000006123,14.962100625000005
5,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.975347749999997,0.004885083999994322,14.980232833999992
6,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.922778332999997,0.007454959000000372,14.930233291999997
7,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.93311612499997,0.022393582999995942,14.955509707999965
8,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.939934083000026,0.005877209000004768,14.94581129200003
9,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.952936041999976,0.006880500000022494,14.959816541999999
0,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,2,,15.099099959,0.007809583000039311,15.10690954200004
1,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,2,,14.968220042000041,0.006806208000000424,14.975026250000042
2,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,2,,15.031707666999978,0.006506291999983205,15.038213958999961
3,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,2,,14.963439792000031,0.006445332999987841,14.969885125000019
4,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,2,,14.90609254200001,0.006430958000009923,14.91252350000002
5,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,2,,15.00584083299998,0.006955917000027512,15.012796750000007
