no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Status = Retired),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.05004470899999092,0.06535416599999166,0.11539887499998258
1,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.05359612499998434,0.0698332080000057,0.12342933299999004
2,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.053276124999996455,0.06130929100001481,0.11458541600001126
3,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.05343108400001029,0.06568683300000089,0.11911791700001118
4,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.049542708000018365,0.06315420799998606,0.11269691600000442
5,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.0497589580000124,0.06546762499999659,0.11522658300000899
6,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.05378466700000217,0.06681349999999497,0.12059816699999715
7,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.05347645800000578,0.07025820900000213,0.1237346670000079
8,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.05351470799999447,0.06607058300002677,0.11958529100002124
9,0.5,10,QUERY_DISTANCE,0.39999999999999997,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,1,0.04871020899997802,0.07158633299999906,0.12029654199997708
0,0.5,10,QUERY_DISTANCE,0.19999999999999998,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,2,0.11234054199999832,0.2063718329999915,0.31871237499998983
1,0.5,10,QUERY_DISTANCE,0.19999999999999998,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,2,0.11286879100001102,0.18219204199999695,0.29506083300000796
2,0.5,10,QUERY_DISTANCE,0.19999999999999998,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,2,0.111619208999997,0.17885345799999186,0.29047266699998886
3,0.5,10,QUERY_DISTANCE,0.19999999999999998,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,1,2,8,0,1,9,2,0.10859533400000032,0.18753741599999785,0.29613274999999817
