no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(race = Asian),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.36133337499999996,0.381050667,0.742384042
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.317204292,0.3741886659999998,0.6913929579999998
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.337072166,0.37489550000000005,0.711967666
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.31739316699999964,0.3756504999999999,0.6930436669999995
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.31793691599999985,0.39712766700000035,0.7150645830000002
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.32160487500000023,0.3841098330000001,0.7057147080000004
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.3218677920000008,0.4120807079999995,0.7339485000000003
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.32416937499999854,0.38391370800000146,0.708083083
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.3275820420000013,0.38623070799999937,0.7138127500000007
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,1,0.3388067079999999,0.3830254170000007,0.7218321250000006
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.6777412080000005,1.510901209,2.1886424170000005
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.6706477079999971,1.4848078340000015,2.1554555419999986
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.690049375000001,1.4957984999999994,2.1858478750000003
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.6943905419999972,1.5062327500000023,2.2006232919999995
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.6851442500000005,1.5312315420000004,2.216375792000001
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.6702638340000036,1.502546707999997,2.1728105420000006
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.6933018750000031,1.5035130420000016,2.1968149170000046
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.6962696669999957,1.5144185420000014,2.210688208999997
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.678165958000001,1.5426690840000035,2.2208350420000045
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,2,0.670563707999996,1.5099267499999982,2.180490457999994
0,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7361702500000007,1.538684124999996,2.2748543749999968
1,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7372859159999976,1.5403235839999994,2.277609499999997
2,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7406500419999986,1.5442612500000052,2.284911292000004
3,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7405271659999997,1.540826041999999,2.2813532079999987
4,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7387939999999986,1.5385789580000022,2.277372958000001
5,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7405468329999962,1.5398547919999999,2.280401624999996
6,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7485519999999894,1.547133875,2.2956858749999896
7,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7387094170000097,1.540426624999995,2.2791360420000046
8,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7353419999999886,1.5426263750000118,2.2779683750000004
9,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,3,0.7254191250000019,1.5364475829999975,2.2618667079999994
0,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7779858749999988,1.5512264999999985,2.3292123749999973
1,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7727889579999925,1.5565983329999966,2.329387290999989
2,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7632287079999998,1.546452083999995,2.3096807919999947
3,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7594119580000012,1.5493286250000011,2.3087405830000023
4,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7624553750000018,1.5457245000000057,2.3081798750000075
5,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7691280410000019,1.5504327499999988,2.3195607910000007
6,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7611962080000012,1.5464559579999957,2.307652165999997
7,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.7595124580000032,1.552420749999996,2.3119332079999992
8,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.791213208000002,1.5212473750000015,2.3124605830000036
9,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,4,0.8013543339999956,1.5296576249999987,2.3310119589999942
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.83197662500001,1.5309589579999994,2.3629355830000094
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8137391249999979,1.5650582499999928,2.3787973749999907
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8079524170000099,1.5725988330000007,2.3805512500000106
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8285107089999997,1.5354880000000009,2.3639987090000005
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8331779170000004,1.5683547079999869,2.4015326249999873
5,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.798169707999989,1.5763340420000134,2.3745037500000024
6,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8067357909999942,1.5764368749999846,2.383172665999979
7,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8417157920000022,1.5374445410000135,2.3791603330000157
8,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8338697080000088,1.5708247080000035,2.4046944160000123
9,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,5,5,5,5,5,0,5,5,0,9,5,5,0,9,0,5,0.8025876669999832,1.5670466250000175,2.3696342920000006
