no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(RACEV1X = 1),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.178468874999993,7.675372624999994,38.85384149999999
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.785331292000023,7.690539999999999,39.47587129200002
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.64409999999998,7.692188958000088,39.33628895800007
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.44138795899994,7.711396832999981,39.15278479199992
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.329863875,7.661231374999943,38.991095249999944
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.09701166700006,7.687804417000052,38.78481608400011
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.651753666000104,7.70010933399999,39.351863000000094
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.645620166999834,7.606734041999971,39.252354208999805
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.61565545800022,7.670389500000056,39.286044958000275
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,31.35764983299987,7.694483624999975,39.052133457999844
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,33.96566212500011,17.354821041999912,51.32048316700002
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,33.96895741599974,17.302922500000022,51.27187991599976
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,33.58808566700009,17.383542625000246,50.97162829200033
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,35.482132416999775,17.646876582999994,53.12900899999977
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,35.59714199999962,17.479704750000565,53.076846750000186
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,35.269144541999594,17.51234900000054,52.781493542000135
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,35.39251237499957,17.523600958000316,52.916113332999885
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,35.460616750000554,17.570764750000308,53.03138150000086
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,35.35552879199986,17.474387875000502,52.82991666700036
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,35.46261166600016,17.495151166999676,52.95776283299983
0,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,33.78962766699988,17.74233616699985,51.531963833999725
1,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.60809962500025,17.506049165999684,52.114148790999934
2,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.4027209169999,17.458950582999933,51.86167149999983
3,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.236236208000264,17.45184212499953,51.688078332999794
4,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.66187433400046,17.497804332999294,52.15967866699975
5,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.909245374999955,17.408874291999382,52.31811966699934
6,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.811162875000264,17.335656374999417,52.14681924999968
7,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.378670416001114,17.491447417000018,51.87011783300113
8,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.4884076670005,17.348538083000676,51.83694575000118
9,0.5,10,QUERY_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.491052875000605,17.46348283399857,51.954535708999174
0,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.3145437080002,17.622452417001114,51.936996125001315
1,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.69452404200092,17.71120108299874,52.40572512499966
2,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.57221366699923,17.661150291000013,52.233363957999245
3,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,35.41849375000129,17.762758082999426,53.181251833000715
4,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.77494891599963,17.744665459000316,52.51961437499995
5,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,35.141487834000145,17.737935290999303,52.87942312499945
6,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,35.69333637499949,17.732952082998963,53.42628845799845
7,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.58458058299948,17.692196583000623,52.2767771660001
8,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.67804383300063,17.782986083999276,52.461029916999905
9,0.5,10,QUERY_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,36.19767545899958,17.970226290999562,54.167901749999146
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,36.34172299999955,17.885872625000047,54.227595624999594
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,36.47618841700023,17.906132457999774,54.382320875000005
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,36.21696154100027,17.7799540420001,53.99691558300037
