no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.975897125,0.004169333000000108,14.980066458
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,15.279812,0.003161790999996583,15.282973790999996
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.979018959000001,0.0029596250000025748,14.981978584000004
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.895888999999997,0.002757458000004931,14.898646458000002
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.909444332999982,0.002627208000006931,14.912071540999989
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,15.182997290999992,0.0029454589999886593,15.185942749999981
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.952329125000006,0.0030309999999929005,14.955360124999999
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.986469,0.024874457999999322,15.011343457999999
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.93915816699996,0.0026657910000267293,14.941823957999986
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,1,,14.922064457999966,0.0032251669999823207,14.925289624999948
