no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,0.054818707999999106,0.09310349999999801,0.1479222079999971
0,0,20,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,10,,,0.0537399579999942,6.845731291999996,6.899471249999991
0,0,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,,0.05548245800000018,5.748763083,5.804245541
0,0,40,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,20,,,0.05753762500000903,2.7477809589999964,2.8053185840000054
0,0,50,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,25,,,0.060478583000005415,79.429275042,79.489753625
0,0,60,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,30,,,0.05940120799999704,1.1524582090000024,1.2118594169999994
0,0,70,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,35,,,0.05746304199999486,0.25590854200001445,0.3133715840000093
0,0,80,QUERY_DISTANCE,1.025,RefinementMethod.MILP_OPT,-1,,,0.06148891700001968,0.16460637499997688,0.22609529199999656
0,0,90,QUERY_DISTANCE,1.0222222222222221,RefinementMethod.MILP_OPT,-1,,,0.05805604200000403,0.049290791999993644,0.10734683399999767
0,0,100,QUERY_DISTANCE,1.02,RefinementMethod.MILP_OPT,-1,,,0.05660533299999315,0.012707500000004757,0.06931283299999791
