no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,,0.35494945899999997,0.488341041,0.8432904999999999
0,0,20,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,10,,,0.5201657910000002,1.9177197089999996,2.4378854999999997
0,0,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,,0.6960444169999995,2.746543708,3.4425881249999994
0,0,40,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,20,,,0.90673475,4.602753999999999,5.509488749999999
0,0,50,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,25,,,1.0398214580000005,5.783234,6.823055458000001
0,0,60,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,30,,,1.2163561250000008,6.78129375,7.9976498750000005
0,0,70,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,35,,,1.3592653749999997,8.468081999999999,9.827347374999999
0,0,80,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,40,,,1.5349354579999996,23.097389708,24.632325166
0,0,90,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,45,,,1.6846262090000081,25.761006874999993,27.445633084
0,0,100,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,50,,,1.7273918340000023,18.204960375,19.932352209
