no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,,31.309745833999983,7.651387875000012,38.961133708999995
0,0,20,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,10,,,32.916406209,15.258085250000022,48.17449145900002
0,0,30,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15,,,35.812742791999995,21.21509495800001,57.02783775
0,0,40,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,21,,,36.573974792,29.14098154200002,65.71495633400002
0,0,50,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,25,,,40.742689874999996,37.463237875000004,78.20592775
0,0,60,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,31,,,41.63941175000002,40.00655329199992,81.64596504199994
0,0,70,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,35,,,42.33190258399998,40.67683208300002,83.008734667
0,0,80,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,41,,,43.83887712500007,40.39000566699997,84.22888279200004
0,0,90,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,,44.23944716699998,41.85435741699996,86.09380458399994
0,0,100,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,,44.13446525000006,40.885028207999994,85.01949345800006
